Country.Region,Province.State,1.22.20,1.23.20,1.24.20,1.25.20,1.26.20,1.27.20,1.28.20,1.29.20,1.30.20,1.31.20,2.1.20,2.2.20,2.3.20,2.4.20,2.5.20,2.6.20,2.7.20,2.8.20,2.9.20,2.10.20,2.11.20,2.12.20,2.13.20,2.14.20,2.15.20,2.16.20,2.17.20,2.18.20,2.19.20,2.20.20,2.21.20,2.22.20,2.23.20,2.24.20,2.25.20,2.26.20,2.27.20,2.28.20,2.29.20,3.1.20,3.2.20,3.3.20,3.4.20,3.5.20,3.6.20,3.7.20,3.8.20,3.9.20,3.10.20,3.11.20,3.12.20,3.13.20,3.14.20,3.15.20,3.16.20,3.17.20,3.18.20,3.19.20,3.20.20,3.21.20,3.22.20,3.23.20,3.24.20,3.25.20,3.26.20,3.27.20,3.28.20,3.29.20,3.30.20,3.31.20,4.1.20,4.2.20,4.3.20,4.4.20,4.5.20,4.6.20,4.7.20,4.8.20,4.9.20,4.10.20,4.11.20,4.12.20,4.13.20,4.14.20,4.15.20,4.16.20,4.17.20,4.18.20,4.19.20,4.20.20,4.21.20,4.22.20,4.23.20,4.24.20,4.25.20,4.26.20,4.27.20,4.28.20,4.29.20,4.30.20,5.1.20,5.2.20,5.3.20,5.4.20,5.5.20,5.6.20,5.7.20,5.8.20,5.9.20,5.10.20,5.11.20,5.12.20,5.13.2020,5.14.2020,5.15.2020,5.16.2020,5.17.2020,5.18.2020,5.19.2020,5.20.2020,5.21.2020,5.22.2020,5.23.2020,5.24.2020,5.25.2020,5.26.2020,5.27.2020,5.28.2020
Mexico,Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,7,9,11,11,13,16,20,23,26,26,27,28,28,31,34,38,42,47,54,55,58,62,65,65,66,73,81,97,106,117,121,126,138,147,158,170,177,191,204,212,227,244,256,270,291,304,326,357,391,423,446,466,505,536,581,614,649,677,717,777,819,876,929,1001,1043,1123,1210,1265,1320
Mexico,Guerrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,4,5,4,6,8,10,12,14,14,16,18,18,19,21,24,28,35,40,44,49,54,63,72,74,76,81,89,96,104,110,114,125,140,158,170,184,197,215,235,251,269,302,328,362,379,413,446,478,517,553,575,621,652,710,758,810,858,951,1037,1138,1239,1293,1343,1383,1401,1454,1519,1584
Mexico,Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,4,4,6,9,11,12,14,17,20,22,23,24,27,30,31,34,36,36,42,45,50,52,56,58,60,65,70,82,89,95,107,122,136,155,169,182,199,214,238,264,285,312,333,350,379,411,439,469,496,521,561,592,648,711,762,797,856,916,968,1051,1122,1198,1266,1317,1399,1480,1544
Mexico,Jalisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,8,12,16,19,21,26,30,30,34,40,45,50,55,56,59,60,63,69,73,80,81,88,96,100,108,114,122,123,123,128,131,139,147,155,155,164,184,200,226,238,247,258,269,281,303,324,349,370,385,395,415,457,481,516,542,569,596,616,662,714,739,779,816,878,919,971,1035,1103,1156,1224,1310,1373,1432
Mexico,Estado de Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,2,2,1,2,5,6,9,13,13,14,20,24,28,35,41,47,58,74,98,119,138,156,170,196,217,243,274,314,360,414,480,516,585,652,732,802,879,973,1069,1156,1284,1440,1543,1697,1898,2107,2352,2542,2716,2891,3129,3324,3579,3877,4120,4388,4681,4867,5114,5487,5844,6183,6453,6718,7066,7387,7773,8161,8489,8859,9227,9614,9905,10375,10814,11305,11730,12022,12540,13110,13679
Mexico,Michoacan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,6,6,8,9,10,13,12,14,16,16,19,21,24,27,31,35,40,43,46,50,56,64,69,73,81,87,96,110,117,127,143,160,182,199,217,237,252,274,300,318,345,372,383,410,437,474,521,550,592,638,712,779,862,912,951,999,1059,1133,1207,1296,1361,1425,1502,1567,1637,1710
Mexico,Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,4,5,5,7,8,8,8,10,14,14,16,19,24,28,32,37,39,42,46,50,55,60,64,70,78,92,105,115,136,157,179,192,213,239,258,283,309,338,363,403,429,452,490,531,558,589,619,637,677,709,739,770,792,821,848,889,913,956,1000,1050,1091,1131,1195,1248,1302
Mexico,Nayarit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,4,4,4,5,5,5,5,8,9,10,12,14,15,15,17,20,22,23,24,25,27,30,33,32,34,38,42,46,49,54,60,69,73,83,90,103,117,126,142,155,168,175,185,195,207,222,232,248,262,269,279,292,312,325,343,369,392,410,426,461,481,503
Mexico,Nuevo Leon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,6,7,9,12,16,19,24,26,26,27,31,36,40,45,45,44,44,46,48,52,56,62,68,75,76,92,100,113,122,129,131,137,142,149,157,158,167,181,189,198,207,216,225,246,260,283,311,333,349,375,417,437,460,485,521,546,571,600,648,683,742,776,799,828,865,911,943,990,1049,1101,1136,1208,1269,1324
Mexico,Oaxaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,3,3,5,6,7,8,10,10,13,14,14,15,17,19,22,23,27,27,29,31,33,35,37,41,43,48,53,57,58,60,68,75,87,94,104,108,120,128,138,152,160,174,188,210,226,246,261,281,307,340,392,441,492,547,606,629,716,773,823,889,931,976,1017,1045,1088,1137,1186
